event,campaign,home,away
18266,17FBWeek14,NC1813,NC1922
18280,17FBWeek14,GA5200,GA4315
18262,17FBWeek14,NC937,NC1303
18270,17FBWeek14,GA25424,GA7408
15889,17FBWeek14,CA7931,CA22618
18272,17FBWeek14,GA4859,GA5159
18275,17FBWeek14,GA4946,GA13648
18424,17FBWeek14,CA19938,CA23013
18320,17FBWeek14,FL10933,FL6012
18335,17FBWeek14,AL1033,AL1076
18428,17FBWeek14,CA22857,CA23089
18298,17FBWeek14,FL703,FL17929
18261,17FBWeek14,NC873,NC1885
15892,17FBWeek14,CA68767,CA22583
18323,17FBWeek14,FL2682,FL82
18263,17FBWeek14,NC1162,NC4536
18281,17FBWeek14,GA5226,GA67371
18436,17FBWeek14,CA67520,CA22896
18423,17FBWeek14,CA23017,CA22963
18268,17FBWeek14,GA6802,GA4964
18279,17FBWeek14,GA5056,GA5395
18326,17FBWeek14,FL17947,FL19833
18310,17FBWeek14,FL6092,FL3722
18253,17FBWeek14,CO16309,CO16295
18285,17FBWeek14,GA5372,GA13721
18300,17FBWeek14,FL19827,FL19829
18297,17FBWeek14,FL68189,FL11641
18334,17FBWeek14,AL2358,AL1582
17390,17FBWeek14,NC1162,NC1162
18327,17FBWeek14,FL5921,FL2461
17395,17FBWeek14,NC873,NC873
18286,17FBWeek14,GA5400,GA5145
18425,17FBWeek14,CA19923,CA22977
18438,17FBWeek14,CA22955,CA23094
18437,17FBWeek14,CA23052,CA22937
18316,17FBWeek14,FL16976,FL16969
15919,17FBWeek14,CA22584,CA8070
18299,17FBWeek14,FL5936,FL25551
16941,17FBWeek14,CA15787,CA15804
18322,17FBWeek14,FL12332,FL255
18264,17FBWeek14,NC1209,NC2177
18258,17FBWeek14,TN67015,TN8554
18318,17FBWeek14,FL1801,FL627
18254,17FBWeek14,SC8263,SC696
18401,17FBWeek14,WV1104,WV1109
15904,17FBWeek14,CA7940,CA68179
18384,17FBWeek14,VA7791,VA71663
18283,17FBWeek14,GA5319,GA24297
18434,17FBWeek14,CA22925,CA22871
15939,17FBWeek14,CA51116,CA22523
18432,17FBWeek14,CA19916,CA23070
18290,17FBWeek14,FL24294,FL11635
18343,17FBWeek14,AL1074,AL464
18267,17FBWeek14,NC2344,NC1173
18256,17FBWeek14,TN51159,TN68075
18336,17FBWeek14,AL27314,AL1048
15907,17FBWeek14,CA67947,CA22532
16940,17FBWeek14,CA15806,CA15792
18319,17FBWeek14,FL10958,FL7765
18287,17FBWeek14,GA10410,GA13737
18402,17FBWeek14,WV2227,WV325
15920,17FBWeek14,CA22587,CA12476
18441,17FBWeek14,CA22932,CA68182
15946,17FBWeek14,CA22513,CA22598
18339,17FBWeek14,AL67729,AL11840
17403,17FBWeek14,CA23022,CA23051
18342,17FBWeek14,AL1810,AL1596
18307,17FBWeek14,FL27326,FL24295
18317,17FBWeek14,FL6109,FL17919
15945,17FBWeek14,CA22609,CA22528
18328,17FBWeek14,FL17915,FL25564
18435,17FBWeek14,CA22869,CA19914
18413,17FBWeek14,ME22130,ME22140
14215,17FBWeek14,ME14226,ME22108
18296,17FBWeek14,FL6265,FL27395
15922,17FBWeek14,CA22568,CA68822
18442,17FBWeek14,CA22922,CA19940
18407,17FBWeek14,WV278,WV2678
18260,17FBWeek14,NC689,NC572
18450,17FBWeek14,PA6585,PA6541
15905,17FBWeek14,CA22531,CA22603
15938,17FBWeek14,CA22590,CA22630
18338,17FBWeek14,AL11828,AL11860
13980,17FBWeek14,GA4894,GA10939
18356,17FBWeek14,AL1062,AL2027
18325,17FBWeek14,FL6635,FL7621
18265,17FBWeek14,NC1617,NC1176
18340,17FBWeek14,AL2089,AL121
16947,17FBWeek14,CA22614,CA15793
18333,17FBWeek14,AL13496,AL11850
18403,17FBWeek14,WV24979,WV1206
15953,17FBWeek14,CA22540,CA9050
18415,17FBWeek14,ME22077,ME14212
18269,17FBWeek14,GA67936,GA4874
18309,17FBWeek14,FL6068,FL5997
15794,17FBWeek14,ID17887,ID24535
18408,17FBWeek14,WV767,WV2526
18406,17FBWeek14,WV246,WV1903
18481,17FBWeek14,NC1538,NC67166
18295,17FBWeek14,FL5775,FL5907
18274,17FBWeek14,GA4879,GA4950
18315,17FBWeek14,FL17944,FL17958
18337,17FBWeek14,AL11750,AL67467
18346,17FBWeek14,AL11872,AL1345
18311,17FBWeek14,FL1400,FL7689
18358,17FBWeek14,AL434,AL2672
18304,17FBWeek14,FL17918,FL634
15816,17FBWeek14,ID69287,ID23738
18349,17FBWeek14,AL1564,AL2565
18372,17FBWeek14,AL11849,AL13534
15803,17FBWeek14,ID17888,ID14449
18288,17FBWeek14,FL19823,FL21410
18404,17FBWeek14,WV2429,WV352
18409,17FBWeek14,WV2401,WV2266
18350,17FBWeek14,AL738,AL288
18341,17FBWeek14,AL1886,AL1945
18344,17FBWeek14,AL11746,AL329
15906,17FBWeek14,CA9062,CA8025
18405,17FBWeek14,WV903,WV1325
18357,17FBWeek14,AL778,AL1172
16948,17FBWeek14,CA15809,CA15780
18374,17FBWeek14,AL1946,AL13515
17396,17FBWeek14,NC937,no opponent ID given
18361,17FBWeek14,AL11785,AL11797
15809,17FBWeek14,ID17873,ID24527
18278,17FBWeek14,GA31737,GA17181
18255,17FBWeek14,TN8674,TN8599
16954,17FBWeek14,CA22536,CA22529
18359,17FBWeek14,AL2052,AL619
18369,17FBWeek14,AL11757,AL19815
18364,17FBWeek14,AL2598,AL2312
18455,17FBWeek14,TX13087,TX22750
18381,17FBWeek14,AL383,AL13649
18379,17FBWeek14,AL11884,AL19948
18302,17FBWeek14,FL21408,FL21422
16955,17FBWeek14,CA15789,CA22588
18259,17FBWeek14,NC8259,NC25560
18373,17FBWeek14,AL861,AL15904
17402,17FBWeek14,CA22898,CA22887
18367,17FBWeek14,AL1875,AL1158
18352,17FBWeek14,AL216,AL11855
15890,17FBWeek14,CA22621,CA22554
18347,17FBWeek14,AL13543,AL13503
18380,17FBWeek14,AL967,AL18
17397,17FBWeek14,NC1813,no opponent ID given
18365,17FBWeek14,AL859,AL1949
18332,17FBWeek14,AL13523,AL11745
18429,17FBWeek14,CA23084,CA23008
18382,17FBWeek14,AL1384,AL433
18375,17FBWeek14,AL15905,AL2059
18366,17FBWeek14,AL2533,AL493
18301,17FBWeek14,FL24291,FL17049
18370,17FBWeek14,AL19953,AL2360
18410,17FBWeek14,WV24976,WV2109
18308,17FBWeek14,FL7753,FL67968
18376,17FBWeek14,AL2482,AL1147
18313,17FBWeek14,FL6505,FL5873
16961,17FBWeek14,CA22527,CA15781
18426,17FBWeek14,CA22986,CA22863
18383,17FBWeek14,AL1873,AL2225
18412,17FBWeek14,WV1505,WV2295
18273,17FBWeek14,GA4875,GA5789
18363,17FBWeek14,AL1764,AL11812
18433,17FBWeek14,CA23036,CA22960
16924,17FBWeek14,CA8012,no opponent ID given
18276,17FBWeek14,GA17965,GA5064
18305,17FBWeek14,FL13097,FL67374
18306,17FBWeek14,FL1643,FL7596
18439,17FBWeek14,CIFCCS,CA19941
18282,17FBWeek14,GA5278,GHSA
15891,17FBWeek14,CA22606,CA8044
15786,17FBWeek14,ID69288,ID17875
18427,17FBWeek14,CA23039,CA23091
18329,17FBWeek14,FL5938,CA22554
18414,17FBWeek14,ME14201,ME22137
18378,17FBWeek14,AL1411,AL2325
18368,17FBWeek14,AL49,AL19954
18294,17FBWeek14,FL11636,FL17955
18471,17FBWeek14,PA6321,PA6421
18486,17FBWeek14,OK21013,OK24505
18468,17FBWeek14,PA6302,PA6413
18431,17FBWeek14,CA19934,CA19942
18440,17FBWeek14,CA22976,CA22944
18377,17FBWeek14,AL13507,AL11878
15921,17FBWeek14,CA7906,CA8022
18360,17FBWeek14,AL13525,AL919
18351,17FBWeek14,AL1298,AL13588
15959,17FBWeek14,CA22596,CA68769
18284,17FBWeek14,GA5355,GHSA
18345,17FBWeek14,AL11758,AL13532
18411,17FBWeek14,WV2155,WV2641
15822,17FBWeek14,ID69301,no opponent ID given
18348,17FBWeek14,AL2260,AL68428
18355,17FBWeek14,AL11816,AL11851
18324,17FBWeek14,FL7603,FL7747
18462,17FBWeek14,PA6615,PA6482
16962,17FBWeek14,CA15791,CA15779
18354,17FBWeek14,AL11822,AL11815
18289,17FBWeek14,FL16975,FL7601
18371,17FBWeek14,AL68430,AL11769
17717,17FBWeek14,FL71932,no opponent ID given
13969,17FBWeek14,NYSPHSAA8,no opponent ID given
16337,17FBWeek14,GA67998,no opponent ID given
13970,17FBWeek14,NYSPHSAA8,no opponent ID given
18303,17FBWeek14,FL7600,FL6593
18362,17FBWeek14,AL11844,AL60
18293,17FBWeek14,FL6259,FL227
18353,17FBWeek14,AL11845,AL13541
18331,17FBWeek14,FL17957,FL11643
18292,17FBWeek14,FL5818,FL25573
15960,17FBWeek14,CA22597,CA68580
18314,17FBWeek14,FL7595a,FL5913
15444,17FBWeek14,TN8740,no opponent ID given
18257,17FBWeek14,TN8740,TN8662
15952,17FBWeek14,CA67860,CA22575
18291,17FBWeek14,FL69172,FL1485
18271,17FBWeek14,GA23123,GHSA
18277,17FBWeek14,GA5040,GA5132
17398,17FBWeek14,NC8259,no opponent ID given
18330,17FBWeek14,FL71953,FHSAA
13971,17FBWeek14,NYSPHSAA8,no opponent ID given
13522,17FBWeek14,NYSPHSAA,no opponent ID given
13521,17FBWeek14,NYSPHSAA,no opponent ID given
18430,17FBWeek14,CA22949,CA22858
18416,17FBWeek14,OSAA,no opponent ID given
18418,17FBWeek14,OSAA,no opponent ID given
18417,17FBWeek14,OSAA,no opponent ID given
18420,17FBWeek14,OSAA,no opponent ID given
18419,17FBWeek14,OSAA,no opponent ID given
