Event ID,Event Name,Tickets Sold,Date,Sport,Home Team State Association,Special Game?,Home Team Name,Opposing Team Name,App Link,Source,Medium,Campaign,Tagged Link
17343,Maplesville Red Devils vs Linden Patriots,6,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,Maplesville High School,Linden High School,https://gofan.co/app/events/17343,AHSAA,Click,ALTIX,https://gofan.co/app/events/17343?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17338,Isabella Mustangs vs Millry Wildcats,0,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,Isabella High School,Millry High School,https://gofan.co/app/events/17338,AHSAA,Click,ALTIX,https://gofan.co/app/events/17338?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17339,Wadley Bulldogs vs Pleasant Home Eagles,0,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,Wadley High School,Pleasant Home High School,https://gofan.co/app/events/17339,AHSAA,Click,ALTIX,https://gofan.co/app/events/17339?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17341,Georgiana Panthers vs Winterboro Bulldogs,0,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,Georgiana High School,Winterboro High School,https://gofan.co/app/events/17341,AHSAA,Click,ALTIX,https://gofan.co/app/events/17341?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17342,Talladega County Central Tigers vs Houston County Lions,0,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,Talladega County Central High School,Houston County High School,https://gofan.co/app/events/17342,AHSAA,Click,ALTIX,https://gofan.co/app/events/17342?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17345,Sweet Water Bulldogs vs Notasulga Blue Devils,0,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,Sweet Water High School,Notasulga High School,https://gofan.co/app/events/17345,AHSAA,Click,ALTIX,https://gofan.co/app/events/17345?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17348,South Stallions vs Decatur Heritage Christian Academy Eagles,0,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,South Lamar School,Decatur Heritage Christian Academy,https://gofan.co/app/events/17348,AHSAA,Click,ALTIX,https://gofan.co/app/events/17348?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17350,Cherokee Indians vs Coosa Conquerors,0,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,Cherokee High School,Coosa Christian School,https://gofan.co/app/events/17350,AHSAA,Click,ALTIX,https://gofan.co/app/events/17350?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17351,Lynn Bears vs Holy Spirit Catholic Titans,0,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,Lynn High School,Holy Spirit Catholic High School,https://gofan.co/app/events/17351,AHSAA,Click,ALTIX,https://gofan.co/app/events/17351?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17352,Spring Garden Panthers vs Phillips Bears,0,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,Spring Garden High School,Phillips High School,https://gofan.co/app/events/17352,AHSAA,Click,ALTIX,https://gofan.co/app/events/17352?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17353,Pickens County Tornadoes vs Meek Tigers,0,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,Pickens County High School,Meek High School,https://gofan.co/app/events/17353,AHSAA,Click,ALTIX,https://gofan.co/app/events/17353?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17344,Bulldogs vs Ragland Purple Devils,0,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,Brantley School,Ragland High School,https://gofan.co/app/events/17344,AHSAA,Click,ALTIX,https://gofan.co/app/events/17344?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17347,Hackleburg Panthers vs Woodville Panthers,0,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,Hackleburg High School,Woodville High School,https://gofan.co/app/events/17347,AHSAA,Click,ALTIX,https://gofan.co/app/events/17347?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17326,Thorsby Rebels vs Geneva County Bulldogs,3,11/10/17,2A Football,AHSAA,AHSAA Playoffs - 1st Round,Thorsby High School,Geneva County High School,https://gofan.co/app/events/17326,AHSAA,Click,ALTIX,https://gofan.co/app/events/17326?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17322,Luverne Tigers vs J U Blacksher Bulldogs,0,11/10/17,2A Football,AHSAA,AHSAA Playoffs - 1st Round,Luverne High School,J U Blacksher High School,https://gofan.co/app/events/17322,AHSAA,Click,ALTIX,https://gofan.co/app/events/17322?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17324,Leroy Bears vs Elba Tigers,0,11/10/17,2A Football,AHSAA,AHSAA Playoffs - 1st Round,Leroy High School,Elba High School,https://gofan.co/app/events/17324,AHSAA,Click,ALTIX,https://gofan.co/app/events/17324?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17325,Ariton Purple Cats vs Robert C Hatch Bobcats,0,11/10/17,2A Football,AHSAA,AHSAA Playoffs - 1st Round,Ariton High School,Robert C Hatch High School,https://gofan.co/app/events/17325,AHSAA,Click,ALTIX,https://gofan.co/app/events/17325?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17327,Goshen Eagles vs Southern Choctaw Indians,0,11/10/17,2A Football,AHSAA,AHSAA Playoffs - 1st Round,Goshen High School,Southern Choctaw High School,https://gofan.co/app/events/17327,AHSAA,Click,ALTIX,https://gofan.co/app/events/17327?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17328,Abbeville Yellowjackets vs Keith Bears,0,11/10/17,2A Football,AHSAA,AHSAA Playoffs - 1st Round,Abbeville High School,Keith High School,https://gofan.co/app/events/17328,AHSAA,Click,ALTIX,https://gofan.co/app/events/17328?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17332,Lafayette Fighting Bulldogs vs Cleveland Panthers,0,11/10/17,2A Football,AHSAA,AHSAA Playoffs - 1st Round,Lafayette High School,Cleveland High School,https://gofan.co/app/events/17332,AHSAA,Click,ALTIX,https://gofan.co/app/events/17332?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17336,Sand Rock Wildcats vs Mars Hill Panthers,0,11/10/17,2A Football,AHSAA,AHSAA Playoffs - 1st Round,Sand Rock High School,Mars Hill Bible School,https://gofan.co/app/events/17336,AHSAA,Click,ALTIX,https://gofan.co/app/events/17336?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17337,Lanett Panthers vs Tanner Rattlers,0,11/10/17,2A Football,AHSAA,AHSAA Playoffs - 1st Round,Lanett High School,Tanner High School,https://gofan.co/app/events/17337,AHSAA,Click,ALTIX,https://gofan.co/app/events/17337?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17334,Lamar County Bulldogs vs Ider Hornets,5,11/10/17,2A Football,AHSAA,AHSAA Playoffs - 1st Round,Lamar County High School,Ider High School,https://gofan.co/app/events/17334,AHSAA,Click,ALTIX,https://gofan.co/app/events/17334?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17323,Aliceville Yellow Jackets vs Samson Tigers,3,11/10/17,2A Football,AHSAA,AHSAA Playoffs - 1st Round,Aliceville High School,Samson High School,https://gofan.co/app/events/17323,AHSAA,Click,ALTIX,https://gofan.co/app/events/17323?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17329,St. Luke's Wildcats vs New Brockton Gamecocks,0,11/10/17,2A Football,AHSAA,AHSAA Playoffs - 1st Round,St. Luke's Episcopal School,New Brockton High School,https://gofan.co/app/events/17329,AHSAA,Click,ALTIX,https://gofan.co/app/events/17329?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17330,Falkville Blue Devils vs Reeltown Rebels,0,11/10/17,2A Football,AHSAA,AHSAA Playoffs - 1st Round,Falkville High School,Reeltown High School,https://gofan.co/app/events/17330,AHSAA,Click,ALTIX,https://gofan.co/app/events/17330?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17306,Pike County Bulldogs vs Mobile Christian Leopards,0,11/10/17,3A Football,AHSAA,AHSAA Playoffs - 1st Round,Pike County High School,Mobile Christian High School,https://gofan.co/app/events/17306,AHSAA,Click,ALTIX,https://gofan.co/app/events/17306?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17308,Clarke County Bulldogs vs Selma Saints,0,11/10/17,3A Football,AHSAA,AHSAA Playoffs - 1st Round,Clarke County High School,Selma High School,https://gofan.co/app/events/17308,AHSAA,Click,ALTIX,https://gofan.co/app/events/17308?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17309,Wicksburg Panthers vs Midfield Patriots,0,11/10/17,3A Football,AHSAA,AHSAA Playoffs - 1st Round,Wicksburg High School,Midfield High School,https://gofan.co/app/events/17309,AHSAA,Click,ALTIX,https://gofan.co/app/events/17309?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17311,Montgomery Academy Eagles vs Bayside Academy Admirals,0,11/10/17,3A Football,AHSAA,AHSAA Playoffs - 1st Round,Montgomery Academy,Bayside Academy,https://gofan.co/app/events/17311,AHSAA,Click,ALTIX,https://gofan.co/app/events/17311?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17312,Daleville Warhawks vs Oakman Wildcats,0,11/10/17,3A Football,AHSAA,AHSAA Playoffs - 1st Round,Daleville High School,Oakman High School,https://gofan.co/app/events/17312,AHSAA,Click,ALTIX,https://gofan.co/app/events/17312?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17313,Hillcrest Jaguars vs Prattville Christian Academy Panthers,0,11/10/17,3A Football,AHSAA,AHSAA Playoffs - 1st Round,Hillcrest High School,Prattville Christian Academy,https://gofan.co/app/events/17313,AHSAA,Click,ALTIX,https://gofan.co/app/events/17313?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17321,Piedmont High Bulldogs vs Geraldine Bulldogs,0,11/10/17,3A Football,AHSAA,AHSAA Playoffs - 1st Round,Piedmont High School,Geraldine High School,https://gofan.co/app/events/17321,AHSAA,Click,ALTIX,https://gofan.co/app/events/17321?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17314,Sylvania Rams vs Ohatchee Indians,0,11/10/17,3A Football,AHSAA,AHSAA Playoffs - 1st Round,Sylvania High School,Ohatchee High School,https://gofan.co/app/events/17314,AHSAA,Click,ALTIX,https://gofan.co/app/events/17314?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17317,Fultondale Wildcats vs Colbert County Indians,0,11/10/17,3A Football,AHSAA,AHSAA Playoffs - 1st Round,Fultondale High School,Colbert County High School,https://gofan.co/app/events/17317,AHSAA,Click,ALTIX,https://gofan.co/app/events/17317?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17319,Plainview Bears vs Weaver Bearcats,0,11/10/17,3A Football,AHSAA,AHSAA Playoffs - 1st Round,Plainview High School,Weaver High School,https://gofan.co/app/events/17319,AHSAA,Click,ALTIX,https://gofan.co/app/events/17319?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17307,Gordo Green Waves vs Providence Christian Eagles,0,11/10/17,3A Football,AHSAA,AHSAA Playoffs - 1st Round,Gordo High School,Providence Christian School,https://gofan.co/app/events/17307,AHSAA,Click,ALTIX,https://gofan.co/app/events/17307?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17310,American Christian Academy Patriots vs Slocomb Red Tops,0,11/10/17,3A Football,AHSAA,AHSAA Playoffs - 1st Round,American Christian Academy,Slocomb High School,https://gofan.co/app/events/17310,AHSAA,Click,ALTIX,https://gofan.co/app/events/17310?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17291,Bibb County Choctaws vs Dale County Warriors,7,11/10/17,4A Football,AHSAA,AHSAA Playoffs - 1st Round,Bibb County High School,Dale County High School,https://gofan.co/app/events/17291,AHSAA,Click,ALTIX,https://gofan.co/app/events/17291?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17292,Ums Wright Bulldogs vs Leeds Greenwave,7,11/10/17,4A Football,AHSAA,AHSAA Playoffs - 1st Round,UMS Wright Prep School,Leeds High School,https://gofan.co/app/events/17292,AHSAA,Click,ALTIX,https://gofan.co/app/events/17292?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17290,Tallassee Tigers vs Thomasville Tigers,3,11/10/17,4A Football,AHSAA,AHSAA Playoffs - 1st Round,Tallassee High School,Thomasville High School,https://gofan.co/app/events/17290,AHSAA,Click,ALTIX,https://gofan.co/app/events/17290?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17294,Northside Rams vs Alabama Christian Academy Eagles,3,11/10/17,4A Football,AHSAA,AHSAA Playoffs - 1st Round,Northside High School,Alabama Christian Academy,https://gofan.co/app/events/17294,AHSAA,Click,ALTIX,https://gofan.co/app/events/17294?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17299,Rogers Pirates vs Haleyville Lions,1,11/10/17,4A Football,AHSAA,AHSAA Playoffs - 1st Round,Rogers High School,Haleyville High School,https://gofan.co/app/events/17299,AHSAA,Click,ALTIX,https://gofan.co/app/events/17299?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17304,Dora Bulldogs vs Deshler Tigers,1,11/10/17,4A Football,AHSAA,AHSAA Playoffs - 1st Round,Dora High School,Deshler High School,https://gofan.co/app/events/17304,AHSAA,Click,ALTIX,https://gofan.co/app/events/17304?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17293,Montgomery Catholic Knights vs Sipsey Valley Bears,0,11/10/17,4A Football,AHSAA,AHSAA Playoffs - 1st Round,Montgomery Catholic Preparatory School,Sipsey Valley High School,https://gofan.co/app/events/17293,AHSAA,Click,ALTIX,https://gofan.co/app/events/17293?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17295,Munford Lions vs W S Neal Eagles,0,11/10/17,4A Football,AHSAA,AHSAA Playoffs - 1st Round,Munford High School,W S Neal High School,https://gofan.co/app/events/17295,AHSAA,Click,ALTIX,https://gofan.co/app/events/17295?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17296,Saint James Trojans vs West Blocton Tigers,0,11/10/17,4A Football,AHSAA,AHSAA Playoffs - 1st Round,Saint James School,West Blocton High School,https://gofan.co/app/events/17296,AHSAA,Click,ALTIX,https://gofan.co/app/events/17296?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17297,Andalusia Bulldogs vs Childersburg Tigers,0,11/10/17,4A Football,AHSAA,AHSAA Playoffs - 1st Round,Andalusia High School,Childersburg High School,https://gofan.co/app/events/17297,AHSAA,Click,ALTIX,https://gofan.co/app/events/17297?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17298,Madison Academy Mustangs vs Hokes Bluff Eagles,0,11/10/17,4A Football,AHSAA,AHSAA Playoffs - 1st Round,Madison Academy,Hokes Bluff High School,https://gofan.co/app/events/17298,AHSAA,Click,ALTIX,https://gofan.co/app/events/17298?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17305,Saks Wildcats vs Westminster Christian Academy Wildcats,0,11/10/17,4A Football,AHSAA,AHSAA Playoffs - 1st Round,Saks High School,Westminster Christian Academy,https://gofan.co/app/events/17305,AHSAA,Click,ALTIX,https://gofan.co/app/events/17305?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17300,Jacksonville Golden Eagles vs Randolph Raiders,0,11/10/17,4A Football,AHSAA,AHSAA Playoffs - 1st Round,Jacksonville High School,Randolph School,https://gofan.co/app/events/17300,AHSAA,Click,ALTIX,https://gofan.co/app/events/17300?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17303,Sardis Lions vs Cherokee County Warriors,0,11/10/17,4A Football,AHSAA,AHSAA Playoffs - 1st Round,Sardis High School,Cherokee County High School,https://gofan.co/app/events/17303,AHSAA,Click,ALTIX,https://gofan.co/app/events/17303?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17302,Wilson Warriors vs Cordova Blue Devils,0,11/10/17,4A Football,AHSAA,AHSAA Playoffs - 1st Round,Wilson High School,Cordova High School,https://gofan.co/app/events/17302,AHSAA,Click,ALTIX,https://gofan.co/app/events/17302?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17274,Calera Eagles vs Jackson Jackson Aggies,0,11/10/17,5A Football,AHSAA,AHSAA Playoffs - 1st Round,Calera High School,Jackson High School,https://gofan.co/app/events/17274,AHSAA,Click,ALTIX,https://gofan.co/app/events/17274?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17275,Beauregard Hornets vs Greenville Tigers,0,11/10/17,5A Football,AHSAA,AHSAA Playoffs - 1st Round,Beauregard High School,Greenville High School,https://gofan.co/app/events/17275,AHSAA,Click,ALTIX,https://gofan.co/app/events/17275?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17277,Carroll Eagles vs Talladega Tigers,0,11/10/17,5A Football,AHSAA,AHSAA Playoffs - 1st Round,Carroll High School,Talladega High School,https://gofan.co/app/events/17277,AHSAA,Click,ALTIX,https://gofan.co/app/events/17277?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17278,Central Of Clay County Volunteers vs Charles Henderson Trojans,0,11/10/17,5A Football,AHSAA,AHSAA Playoffs - 1st Round,Central High School Of Clay County,Charles Henderson High School,https://gofan.co/app/events/17278,AHSAA,Click,ALTIX,https://gofan.co/app/events/17278?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17279,Demopolis Tigers vs Williamson Lions,0,11/10/17,5A Football,AHSAA,AHSAA Playoffs - 1st Round,Demopolis High School,Williamson High School,https://gofan.co/app/events/17279,AHSAA,Click,ALTIX,https://gofan.co/app/events/17279?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17276,Saint Paul's Saints vs Marbury Bulldogs,0,11/10/17,5A Football,AHSAA,AHSAA Playoffs - 1st Round,Saint Paul's Episcopal School,Marbury High School,https://gofan.co/app/events/17276,AHSAA,Click,ALTIX,https://gofan.co/app/events/17276?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17258,Benjamin Russell Wildcats vs Saraland Spartans,43,11/10/17,6A Football,AHSAA,AHSAA Playoffs - 1st Round,Benjamin Russell High School,Saraland High School,https://gofan.co/app/events/17258,AHSAA,Click,ALTIX,https://gofan.co/app/events/17258?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17265,Spanish Fort Toros vs Pelham Panthers,22,11/10/17,6A Football,AHSAA,AHSAA Playoffs - 1st Round,Spanish Fort High School,Pelham High School,https://gofan.co/app/events/17265,AHSAA,Click,ALTIX,https://gofan.co/app/events/17265?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17269,Pinson Valley Indians vs Florence Falcons,19,11/10/17,6A Football,AHSAA,AHSAA Playoffs - 1st Round,Pinson Valley High School,Florence High School,https://gofan.co/app/events/17269,AHSAA,Click,ALTIX,https://gofan.co/app/events/17269?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17263,Wetumpka Indians vs Blount Leopards,16,11/10/17,6A Football,AHSAA,AHSAA Playoffs - 1st Round,Wetumpka High School,Blount High School,https://gofan.co/app/events/17263,AHSAA,Click,ALTIX,https://gofan.co/app/events/17263?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17270,Muscle Shoals Trojans vs Gardendale Rockets,2,11/10/17,6A Football,AHSAA,AHSAA Playoffs - 1st Round,Muscle Shoals High School,Gardendale High School,https://gofan.co/app/events/17270,AHSAA,Click,ALTIX,https://gofan.co/app/events/17270?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17259,Hillcrest Patriots vs Stanhope Elmore Mustangs,0,11/10/17,6A Football,AHSAA,AHSAA Playoffs - 1st Round,Hillcrest High School,Stanhope Elmore High School,https://gofan.co/app/events/17259,AHSAA,Click,ALTIX,https://gofan.co/app/events/17259?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17260,Daphne Trojans vs Opelika Bulldogs,0,11/10/17,6A Football,AHSAA,AHSAA Playoffs - 1st Round,Daphne High School,Opelika High School,https://gofan.co/app/events/17260,AHSAA,Click,ALTIX,https://gofan.co/app/events/17260?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17261,Park Crossing Thunderbirds vs Bessemer City Purple Tigers,0,11/10/17,6A Football,AHSAA,AHSAA Playoffs - 1st Round,Park Crossing High School,Bessemer City High School,https://gofan.co/app/events/17261,AHSAA,Click,ALTIX,https://gofan.co/app/events/17261?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17262,Mcadory Yellowjackets vs G.W. Carver Wolverines,0,11/10/17,6A Football,AHSAA,AHSAA Playoffs - 1st Round,McAdory High School,G.W. Carver High School,https://gofan.co/app/events/17262,AHSAA,Click,ALTIX,https://gofan.co/app/events/17262?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17268,Ramsay Rams vs Cullman Cats,0,11/10/17,6A Football,AHSAA,AHSAA Playoffs - 1st Round,Ramsay High School,Cullman High School,https://gofan.co/app/events/17268,AHSAA,Click,ALTIX,https://gofan.co/app/events/17268?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17272,Clay Chalkville Cougars vs Athens Golden Eagles,0,11/10/17,6A Football,AHSAA,AHSAA Playoffs - 1st Round,Clay-Chalkville High School,Athens High School,https://gofan.co/app/events/17272,AHSAA,Click,ALTIX,https://gofan.co/app/events/17272?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17273,Homewood Patriots vs Fort Payne Wildcats,0,11/10/17,6A Football,AHSAA,AHSAA Playoffs - 1st Round,Homewood High School,Fort Payne High School,https://gofan.co/app/events/17273,AHSAA,Click,ALTIX,https://gofan.co/app/events/17273?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17267,Austin Black Bears vs Carver Rams,0,11/10/17,6A Football,AHSAA,AHSAA Playoffs - 1st Round,Austin High School,Carver High School,https://gofan.co/app/events/17267,AHSAA,Click,ALTIX,https://gofan.co/app/events/17267?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17255,Thompson Warriors vs Huntsville Panthers,242,11/10/17,7A Football,AHSAA,AHSAA Playoffs - 1st Round,Thompson High School,Huntsville High School,https://gofan.co/app/events/17255,AHSAA,Click,ALTIX,https://gofan.co/app/events/17255?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17250,Auburn Tigers vs Davidson Warriors,41,11/10/17,7A Football,AHSAA,AHSAA Playoffs - 1st Round,Auburn High School,Davidson High School,https://gofan.co/app/events/17250,AHSAA,Click,ALTIX,https://gofan.co/app/events/17250?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17257,Hewitt Trussville Huskies vs Spain Park Jaguars,41,11/10/17,7A Football,AHSAA,AHSAA Playoffs - 1st Round,Hewitt-Trussville High School,Spain Park High School,https://gofan.co/app/events/17257,AHSAA,Click,ALTIX,https://gofan.co/app/events/17257?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17254,Bob Jones Patriots vs Mountain Brook Spartans,30,11/10/17,7A Football,AHSAA,AHSAA Playoffs - 1st Round,Bob Jones High School,Mountain Brook High School,https://gofan.co/app/events/17254,AHSAA,Click,ALTIX,https://gofan.co/app/events/17254?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17256,Hoover Bucs vs Sparkman Senators,8,11/10/17,7A Football,AHSAA,AHSAA Playoffs - 1st Round,Hoover High School,Sparkman High School,https://gofan.co/app/events/17256,AHSAA,Click,ALTIX,https://gofan.co/app/events/17256?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17251,Mcgill Toolen vs Jeff Davis Vols,5,11/10/17,7A Football,AHSAA,AHSAA Playoffs - 1st Round,McGill-Toolen High School,Jefferson Davis High School,https://gofan.co/app/events/17251,AHSAA,Click,ALTIX,https://gofan.co/app/events/17251?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17253,Central Phenix City vs Theodore Bobcats,4,11/10/17,7A Football,AHSAA,AHSAA Playoffs - 1st Round,Central High School,Theodore High School,https://gofan.co/app/events/17253,AHSAA,Click,ALTIX,https://gofan.co/app/events/17253?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX