Event ID,Event Name,Date,Sport,Special Game?,GoFan Game Rating,Home Team ID,Home Team Name,Home Team State Association,GoFan Home Team Rating,GoFan Home Team Status,Opposing Team ID,Opposing Team Name,GoFan Opp Team Rating,GoFan Opp Team Status,App Link,Tickets Sold,Tickets $$,Contact Name,Contact Email,event,home,away,campaign,
19547,,1/27/18,Basketball,,,CA22629,Woodcreek High School,,,,CA8025,Rocklin High School,,,https://gofan.co/app/events/19547,,,,,19547,CA22629,CA8025,18BBWeek4,
17631,,1/24/18,Basketball,,,AL1582,Mountain Brook High School,,,,AL1761,Oak Mountain High School,,,https://gofan.co/app/events/17631,,,,,17631,AL1582,AL1761,18BBWeek4,
14575,,1/23/18,Basketball,,,GA5372,Walton High School,,,,GA5282,Roswell High School,,,https://gofan.co/app/events/14575,,,,,14575,GA5372,GA5282,18BBWeek4,
13514,,1/27/18,Basketball,,,AL2466,Vestavia Hills High School,,,,AL1076,Hoover High School,,,https://gofan.co/app/events/13514,,,,,13514,AL2466,AL1076,18BBWeek4,
19546,,1/24/18,Basketball,,,CA22629,Woodcreek High School,,,,CA7931,Folsom High School,,,https://gofan.co/app/events/19546,,,,,19546,CA22629,CA7931,18BBWeek4,
13236,,1/25/18,Basketball,,,CA19060,Tesoro High School,,,,CA18709,Aliso Niguel High School,,,https://gofan.co/app/events/13236,,,,,13236,CA19060,CA18709,18BBWeek4,
14645,,1/27/18,Basketball,,,TN8563,Brentwood High School,,,,TN67015,Summit High School,,,https://gofan.co/app/events/14645,,,,,14645,TN8563,TN67015,18BBWeek4,
13513,,1/24/18,Basketball,,,AL2466,Vestavia Hills High School,,,,AL2358,Thompson High School,,,https://gofan.co/app/events/13513,,,,,13513,AL2466,AL2358,18BBWeek4,
17632,,1/27/18,Basketball,,,AL1582,Mountain Brook High School,,,,AL2217,Spain Park High School,,,https://gofan.co/app/events/17632,,,,,17632,AL1582,AL2217,18BBWeek4,
19396,,1/27/18,Basketball,,,WV894,George Washington High School,,,,WV325,Cabell Midland High School,,,https://gofan.co/app/events/19396,,,,,19396,WV894,WV325,18BBWeek4,
14643,,1/24/18,Basketball,,,TN8563,Brentwood High School,,,,TN8692,Spring Hill High School,,,https://gofan.co/app/events/14643,,,,,14643,TN8563,TN8692,18BBWeek4,
6318,,1/27/18,Basketball,,,AL1761,Oak Mountain High School,,,,AL1097,Huffman High School,,,https://gofan.co/app/events/6318,,,,,6318,AL1761,AL1097,18BBWeek4,
17985,,1/24/18,Basketball,,,CA23022,Pittsburg High School,,,,CA22914,Freedom High School,,,https://gofan.co/app/events/17985,,,,,17985,CA23022,CA22914,18BBWeek4,
19496,,1/24/18,Ice Hockey,,,NH14818,Keene High School,,,,NH22152,Kingswood Regional Senior High School,,,https://gofan.co/app/events/19496,,,,,19496,NH14818,NH22152,18BBWeek4,
17974,,1/27/18,Basketball,,,CA23022,Pittsburg High School,,,,CA22856,Antioch High School,,,https://gofan.co/app/events/17974,,,,,17974,CA23022,CA22856,18BBWeek4,
16693,,1/24/18,Basketball,,,AL2218,Sparkman High School,,,,AL1194,Jemison High School,,,https://gofan.co/app/events/16693,,,,,16693,AL2218,AL1194,18BBWeek4,
18984,,1/25/18,Basketball,,,CA19032,Santa Margarita Catholic High School,,,,CA18930,Mater Dei High School,,,https://gofan.co/app/events/18984,,,,,18984,CA19032,CA18930,18BBWeek4,
18985,,1/27/18,Basketball,,,CA19032,Santa Margarita Catholic High School,,,,CA19040,Servite High School,,,https://gofan.co/app/events/18985,,,,,18985,CA19032,CA19040,18BBWeek4,
19837,,1/28/18,Winter Formal,,,CA19944,St Francis High School,,,,,,,,https://gofan.co/app/events/19837,,,,,19837,CA19944,CA19944,18FORMALWeek4,
17467,,1/26/18,Performing Arts,,,CA22583,Oak Ridge High School,,,,,,,,https://gofan.co/app/events/17467,,,,,17467,CA22583,CA22583,18PAWeek4,
17468,,1/27/18,Performing Arts,,,CA22583,Oak Ridge High School,,,,,,,,https://gofan.co/app/events/17468,,,,,17468,CA22583,CA22583,18PAWeek4,
15516,,1/24/18,Basketball,,,CA22863,Bellarmine College Prep,,,,CA23039,Saint Francis High School,,,https://gofan.co/app/events/15516,,,,,15516,CA22863,CA23039,18BBWeek4,
20053,,1/24/18,Basketball,,,CA22943,James Logan High School,,,,CA22993,Moreau Catholic High School,,,https://gofan.co/app/events/20053,,,,,20053,CA22943,CA22993,18BBWeek4,
19930,,1/27/18,Prom Palooza,,,CA50241,Heritage High School,,,,,,,,https://gofan.co/app/events/19930,,,,,19930,CA50241,CA50241,18PROMWeek4,
18212,,1/28/18,Football,,,CA71968,Inland Valley Classic,,,,,,,,https://gofan.co/app/events/18212,,,,,18212,CA71968,CA71968,18FBWeek4,
19235,,1/28/18,Winter Dance,,,GA5152,Meadowcreek High School,,,,,,,,https://gofan.co/app/events/19235,,,,,19235,GA5152,GA5153,18DANCEWeek4,
19952,,1/27/18,Cheerleading,,,IHSA,IHSA (Illinois),,,,,,,,https://gofan.co/app/events/19952,,,,,19952,IHSA,IHSA,18CHEERWeek4,
13152,,1/25/18,Cheerleading,,,MD10400,Anne Arundel County Schools,,,,,,,,https://gofan.co/app/events/13152,,,,,13152,MD10400,MD10401,18CHEERWeek4,
20049,,1/27/18,Fine Arts,,,NC25560,Heritage High School,,,,,,,,https://gofan.co/app/events/20049,,,,,20049,NC25560,NC25560,18FAWeek4,
20051,,1/27/18,Fine Arts,,,NC25560,Heritage High School,,,,,,,,https://gofan.co/app/events/20051,,,,,20051,NC25560,NC25560,18FAWeek4,
20067,,1/28/18,Fine Arts,,,NC25560,Heritage High School,,,,,,,,https://gofan.co/app/events/20067,,,,,20067,NC25560,NC25560,18FAWeek4,
19423,,1/27/18,Dual Wrestling,,,NYSPHSAA,NYSPHSAA (New York),,,,,,,,https://gofan.co/app/events/19423,,,,,19423,NYSPHSAA,NYSPHSAA,18WRESWeek4,
17454,,1/24/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17454,,,,,17454,WI50307,WI50307,18BBWeek4,
17655,,1/24/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17655,,,,,17655,WI50307,WI50307,18BBWeek4,
17224,,1/24/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17224,,,,,17224,WI50307,WI50307,18BBWeek4,
17149,,1/24/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17149,,,,,17149,WI50307,WI50307,18BBWeek4,
17156,,1/24/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17156,,,,,17156,WI50307,WI50307,18BBWeek4,
17213,,1/24/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17213,,,,,17213,WI50307,WI50307,18BBWeek4,
17764,,1/24/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17764,,,,,17764,WI50307,WI50307,18BBWeek4,
17685,,1/25/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17685,,,,,17685,WI50307,WI50307,18BBWeek4,
17691,,1/26/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17691,,,,,17691,WI50307,WI50307,18BBWeek4,
17676,,1/26/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17676,,,,,17676,WI50307,WI50307,18BBWeek4,
17427,,1/26/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17427,,,,,17427,WI50307,WI50307,18BBWeek4,
17434,,1/27/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17434,,,,,17434,WI50307,WI50307,18BBWeek4,
17186,,1/27/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17186,,,,,17186,WI50307,WI50307,18BBWeek4,
17196,,1/27/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17196,,,,,17196,WI50307,WI50307,18BBWeek4,
17233,,1/27/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17233,,,,,17233,WI50307,WI50307,18BBWeek4,
17440,,1/27/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17440,,,,,17440,WI50307,WI50307,18BBWeek4,
17736,,1/27/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17736,,,,,17736,WI50307,WI50307,18BBWeek4,
17447,,1/28/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17447,,,,,17447,WI50307,WI50307,18BBWeek4,
20155,,1/27/18,Cheerleading,,,WIAA,WIAA (Wisconsin),,,,,,,,https://gofan.co/app/events/20155,,,,,20155,WIAA,WIAA,18CHEERWeek4,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,